feature_name,category,source_table,dtype,min_value,max_value,mean_value,missing_count,missing_pct,leakage_risk
demo_age_years,Demographics & Socioeconomics,DEMO_L,float64,0.0,80.0,38.32,0,0.0,ZERO (Isolated)
demo_is_male,Demographics & Socioeconomics,DEMO_L,int64,0.0,1.0,0.47,0,0.0,ZERO (Isolated)
demo_race_ethnicity,Demographics & Socioeconomics,DEMO_L,int64,1.0,7.0,3.32,0,0.0,ZERO (Isolated)
demo_education_level,Demographics & Socioeconomics,DEMO_L,float64,1.0,5.0,3.8,4150,34.78,ZERO (Isolated)
demo_poverty_ratio,Demographics & Socioeconomics,DEMO_L,float64,0.0,5.0,2.71,2041,17.1,ZERO (Isolated)
demo_household_size,Demographics & Socioeconomics,DEMO_L,float64,1.0,7.0,3.24,0,0.0,ZERO (Isolated)
demo_is_pregnant,Demographics & Socioeconomics,DEMO_L,int64,0.0,1.0,0.0,0,0.0,ZERO (Isolated)
exam_height_cm,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,79.1,200.7,159.66,3434,28.78,ZERO (Isolated)
exam_weight_kg,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,2.7,248.2,70.55,3179,26.64,ZERO (Isolated)
exam_bmi,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,11.1,74.8,27.25,3462,29.01,ZERO (Isolated)
exam_waist_cm,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,39.8,187.0,92.12,3743,31.37,ZERO (Isolated)
exam_waist_height_ratio,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,0.34,1.05,0.57,3759,31.5,ZERO (Isolated)
exam_systolic_bp,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,70.0,232.33,119.09,4415,37.0,ZERO (Isolated)
exam_diastolic_bp,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,34.0,139.0,72.21,4415,37.0,ZERO (Isolated)
exam_pulse_rate,Anthropometrics & Physical Vitals,BMX_L / BPXO_L,float64,34.0,151.0,73.04,4415,37.0,ZERO (Isolated)
diet_energy_kcal,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,10446.0,1927.81,5237,43.89,ZERO (Isolated)
diet_protein_g,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,348.46,70.94,5237,43.89,ZERO (Isolated)
diet_carbohydrate_g,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,1300.94,223.92,5237,43.89,ZERO (Isolated)
diet_sugar_g,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,835.1,96.49,5237,43.89,ZERO (Isolated)
diet_fiber_g,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,117.3,15.54,5237,43.89,ZERO (Isolated)
diet_total_fat_g,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,505.62,80.57,5237,43.89,ZERO (Isolated)
diet_saturated_fat_g,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,208.84,26.16,5237,43.89,ZERO (Isolated)
diet_cholesterol_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,3598.0,293.86,5237,43.89,ZERO (Isolated)
diet_iron_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,103.83,12.31,5237,43.89,ZERO (Isolated)
diet_calcium_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,6061.5,886.42,5237,43.89,ZERO (Isolated)
diet_magnesium_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,2234.0,273.74,5237,43.89,ZERO (Isolated)
diet_zinc_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,80.63,9.21,5237,43.89,ZERO (Isolated)
diet_copper_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,74.12,1.09,5237,43.89,ZERO (Isolated)
diet_sodium_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,16573.5,2967.63,5237,43.89,ZERO (Isolated)
diet_potassium_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,12467.0,2343.28,5237,43.89,ZERO (Isolated)
diet_selenium_mcg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,856.15,99.83,5237,43.89,ZERO (Isolated)
diet_phosphorus_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,7646.5,1230.63,5237,43.89,ZERO (Isolated)
diet_vitamin_a_rae_mcg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,39008.0,579.79,5237,43.89,ZERO (Isolated)
diet_retinol_mcg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,38879.0,381.46,5237,43.89,ZERO (Isolated)
diet_beta_carotene_mcg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,62861.0,2128.39,5237,43.89,ZERO (Isolated)
diet_thiamin_b1_mg,Dietary Nutrient Intakes (2-Day Recall),DR1TOT_L / DR2TOT_L,float64,0.0,10.19,1.41,5237,43.89,ZERO (Isolated)
