target,target_name,model,role,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
target_iron_deficiency,Iron Deficiency,LightGBM,Champion,0.5984147697540555,0.04273394765278459,0.4717024360232223,0.04580129574818057
target_iron_deficiency,Iron Deficiency,XGBoost,Challenger,0.6192351844583988,0.021292808337005035,0.5010658756925978,0.032677349991298135
target_iron_deficiency,Iron Deficiency,CatBoost,Challenger,0.6232955040990756,0.020898842012867666,0.4988956310717093,0.0388932559360503
target_iron_deficiency,Iron Deficiency,ElasticNet_LogisticRegression,Baseline,0.6149488705738706,0.031850598893144406,0.47341736612039476,0.029859451502747245
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),LightGBM,Champion,0.6613001965463713,0.035712823590933376,0.26248678162194683,0.0305892330697661
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),XGBoost,Challenger,0.6834053708247012,0.0329494931660624,0.2930111298433101,0.02371905493602088
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),CatBoost,Challenger,0.6948870749173734,0.029882769299386474,0.31155037557575915,0.04335870483401233
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),ElasticNet_LogisticRegression,Baseline,0.718171067263629,0.02443333869707728,0.3820939172339962,0.058169294105237454
target_vitamin_d_deficiency,Vitamin D Deficiency,LightGBM,Champion,0.818075110354122,0.018611998014935096,0.5452002964832559,0.026318391077212913
target_vitamin_d_deficiency,Vitamin D Deficiency,XGBoost,Challenger,0.8237597176485651,0.021716489030424467,0.5550211162596793,0.050890593643189944
target_vitamin_d_deficiency,Vitamin D Deficiency,CatBoost,Challenger,0.8199607960401677,0.0247879893788323,0.5373098325980845,0.05029920729220174
target_vitamin_d_deficiency,Vitamin D Deficiency,ElasticNet_LogisticRegression,Baseline,0.788794100049092,0.02092132633783025,0.46902783210271426,0.042662955503147686
target_vitamin_d_insufficiency,Vitamin D Insufficiency,LightGBM,Champion,0.8261037696748273,0.009780563548451566,0.8332184802426511,0.013009237577667405
target_vitamin_d_insufficiency,Vitamin D Insufficiency,XGBoost,Challenger,0.8285485105807073,0.011220672457201477,0.8371283591636203,0.012474447922167778
target_vitamin_d_insufficiency,Vitamin D Insufficiency,CatBoost,Challenger,0.8309961533987845,0.010874165601233284,0.8347124609125238,0.015666557189950987
target_vitamin_d_insufficiency,Vitamin D Insufficiency,ElasticNet_LogisticRegression,Baseline,0.811146637167063,0.012384697212843828,0.8076965480131214,0.013634347449746231
target_folate_deficiency,Folate Deficiency,LightGBM,Champion,0.683610979947968,0.01799522619535423,0.21645060017615325,0.023396543486259018
target_folate_deficiency,Folate Deficiency,XGBoost,Challenger,0.715659440014204,0.014547826211812456,0.25137619845004905,0.019919687955460674
target_folate_deficiency,Folate Deficiency,CatBoost,Challenger,0.7217622449951696,0.015651318136613013,0.2633554187849806,0.02760373422140224
target_folate_deficiency,Folate Deficiency,ElasticNet_LogisticRegression,Baseline,0.7113870640140101,0.007060306702175964,0.2536317060722456,0.021473342268063453
target_magnesium_deficiency,Magnesium Deficiency,LightGBM,Champion,0.6103369207485141,0.0331332152765325,0.143386177143012,0.021085024491182595
target_magnesium_deficiency,Magnesium Deficiency,XGBoost,Challenger,0.6819927161148094,0.03093263735614517,0.18453376576910335,0.01752879798070426
target_magnesium_deficiency,Magnesium Deficiency,CatBoost,Challenger,0.689195591615223,0.03783834994652403,0.18022349195595916,0.02118535943781328
target_magnesium_deficiency,Magnesium Deficiency,ElasticNet_LogisticRegression,Baseline,0.6899911176343083,0.031103898777159075,0.19639298528675986,0.0358220499337071
target_potassium_deficiency,Potassium Deficiency,LightGBM,Champion,0.5684630231191449,0.07018276541115426,0.0246481673414849,0.00697044185409941
target_potassium_deficiency,Potassium Deficiency,XGBoost,Challenger,0.6577482423459257,0.10175773153151138,0.04043400126845545,0.019100140296503285
target_potassium_deficiency,Potassium Deficiency,CatBoost,Challenger,0.6376269639775802,0.06964902636659034,0.04340183578271502,0.028418614255822205
target_potassium_deficiency,Potassium Deficiency,ElasticNet_LogisticRegression,Baseline,0.6395046966718281,0.09471534281710892,0.054090867681104396,0.033730362526265566
target_selenium_deficiency,Selenium Deficiency,LightGBM,Champion,0.6347032705219839,0.025706820005204564,0.0871603477274837,0.009120064455114001
target_selenium_deficiency,Selenium Deficiency,XGBoost,Challenger,0.7577674897119342,0.0215460034621896,0.13453227323767109,0.02679272031812935
target_selenium_deficiency,Selenium Deficiency,CatBoost,Challenger,0.7357537361923325,0.03892666160854308,0.13363202624720488,0.019546670448692943
target_selenium_deficiency,Selenium Deficiency,ElasticNet_LogisticRegression,Baseline,0.7220056313623566,0.03523792093774805,0.08482820453293854,0.012191261597712702
target_calcium_deficiency,Calcium Deficiency,LightGBM,Champion,0.5874380521439345,0.0719477844860033,0.024524702521138322,0.014123148906720328
target_calcium_deficiency,Calcium Deficiency,XGBoost,Challenger,0.6703808446455506,0.08145954008058184,0.033035261077892134,0.03482745311422471
target_calcium_deficiency,Calcium Deficiency,CatBoost,Challenger,0.6444327731092437,0.09196544368429212,0.03224713555870063,0.02556441729062753
target_calcium_deficiency,Calcium Deficiency,ElasticNet_LogisticRegression,Baseline,0.5703242835595776,0.08140727853730986,0.012770919648532022,0.0034174996774295158
