feature_name,unique_values,missing_pct,outlier_pct_extreme_3iqr,risk_level,recommended_action
demo_age_years,81,0.0,0.0,NONE,RETAIN (High Quality)
demo_is_male,2,0.0,0.0,NONE,RETAIN (High Quality)
demo_race_ethnicity,6,0.0,0.0,NONE,RETAIN (High Quality)
demo_education_level,5,34.78,0.0,LOW,RETAIN with Native Imputation
demo_poverty_ratio,471,17.1,0.0,NONE,RETAIN (High Quality)
demo_household_size,7,0.0,0.0,NONE,RETAIN (High Quality)
demo_is_pregnant,2,0.0,0.0,HIGH,REVIEW / DROP (Near-Constant >99%)
exam_height_cm,995,28.78,2.38,NONE,RETAIN (High Quality)
exam_weight_kg,1389,26.64,0.05,NONE,RETAIN (High Quality)
exam_bmi,451,29.01,0.2,NONE,RETAIN (High Quality)
exam_waist_cm,1049,31.37,0.0,LOW,RETAIN with Native Imputation
exam_waist_height_ratio,7961,31.5,0.0,LOW,RETAIN with Native Imputation
exam_systolic_bp,353,37.0,0.25,LOW,RETAIN with Native Imputation
exam_diastolic_bp,237,37.0,0.05,LOW,RETAIN with Native Imputation
exam_pulse_rate,248,37.0,0.03,LOW,RETAIN with Native Imputation
diet_energy_kcal,3803,43.89,0.48,LOW,RETAIN with Native Imputation
diet_protein_g,6165,43.89,0.46,LOW,RETAIN with Native Imputation
diet_carbohydrate_g,6488,43.89,0.49,LOW,RETAIN with Native Imputation
diet_sugar_g,6367,43.89,0.69,LOW,RETAIN with Native Imputation
diet_fiber_g,1630,43.89,0.66,LOW,RETAIN with Native Imputation
diet_total_fat_g,6247,43.89,0.43,LOW,RETAIN with Native Imputation
diet_saturated_fat_g,6549,43.89,0.37,LOW,RETAIN with Native Imputation
diet_cholesterol_mg,1555,43.89,0.42,LOW,RETAIN with Native Imputation
diet_iron_mg,4557,43.89,0.93,LOW,RETAIN with Native Imputation
diet_calcium_mg,2795,43.89,0.58,LOW,RETAIN with Native Imputation
diet_magnesium_mg,1158,43.89,0.72,LOW,RETAIN with Native Imputation
diet_zinc_mg,4248,43.89,0.85,LOW,RETAIN with Native Imputation
diet_copper_mg,4399,43.89,1.08,LOW,RETAIN with Native Imputation
diet_sodium_mg,4684,43.89,0.49,LOW,RETAIN with Native Imputation
diet_potassium_mg,4299,43.89,0.45,LOW,RETAIN with Native Imputation
diet_selenium_mcg,4263,43.89,0.79,LOW,RETAIN with Native Imputation
diet_phosphorus_mg,3141,43.89,0.46,LOW,RETAIN with Native Imputation
diet_vitamin_a_rae_mcg,2361,43.89,1.31,LOW,RETAIN with Native Imputation
diet_retinol_mcg,1842,43.89,0.97,LOW,RETAIN with Native Imputation
diet_beta_carotene_mcg,4374,43.89,3.18,LOW,RETAIN with Native Imputation
diet_thiamin_b1_mg,4797,43.89,0.61,LOW,RETAIN with Native Imputation
diet_riboflavin_b2_mg,5088,43.89,1.33,LOW,RETAIN with Native Imputation
diet_niacin_b3_mg,6520,43.89,1.36,LOW,RETAIN with Native Imputation
diet_vitamin_b6_mg,5058,43.89,2.03,LOW,RETAIN with Native Imputation
diet_folate_dfe_mcg,1673,43.89,0.75,LOW,RETAIN with Native Imputation
diet_folic_acid_mcg,853,43.89,0.91,LOW,RETAIN with Native Imputation
diet_vitamin_b12_mcg,2908,43.89,1.88,LOW,RETAIN with Native Imputation
diet_vitamin_c_mg,4362,43.89,0.76,LOW,RETAIN with Native Imputation
diet_vitamin_d_mcg,862,43.89,1.39,LOW,RETAIN with Native Imputation
diet_vitamin_e_mg,4194,43.89,1.39,LOW,RETAIN with Native Imputation
diet_vitamin_k_mcg,4558,43.89,3.03,LOW,RETAIN with Native Imputation
diet_choline_mg,5716,43.89,0.36,LOW,RETAIN with Native Imputation
diet_caffeine_mg,968,43.89,1.15,LOW,RETAIN with Native Imputation
diet_alcohol_g,597,43.89,0.0,LOW,RETAIN with Native Imputation
diet_water_moisture_g,6683,43.89,0.37,LOW,RETAIN with Native Imputation
lifestyle_special_diet,2,43.37,0.0,LOW,RETAIN with Native Imputation
supp_iron_mg,237,0.0,0.0,NONE,RETAIN (High Quality)
supp_calcium_mg,646,0.0,0.0,NONE,RETAIN (High Quality)
supp_magnesium_mg,411,0.0,0.0,NONE,RETAIN (High Quality)
supp_zinc_mg,471,0.0,0.0,NONE,RETAIN (High Quality)
supp_potassium_mg,190,0.0,0.0,NONE,RETAIN (High Quality)
supp_selenium_mcg,223,0.0,0.0,NONE,RETAIN (High Quality)
supp_vitamin_d_mcg,415,0.0,24.12,NONE,RETAIN (High Quality)
supp_vitamin_b12_mcg,491,0.0,0.0,NONE,RETAIN (High Quality)
supp_folate_dfe_mcg,364,0.0,0.0,NONE,RETAIN (High Quality)
supp_vitamin_c_mg,588,0.0,0.0,NONE,RETAIN (High Quality)
supp_vitamin_b6_mg,340,0.0,0.0,NONE,RETAIN (High Quality)
supp_iodine_mcg,177,0.0,0.0,NONE,RETAIN (High Quality)
supp_uses_supplements,2,0.0,0.0,NONE,RETAIN (High Quality)
total_iron_intake_mg,4919,0.0,1.32,NONE,RETAIN (High Quality)
total_vitamin_d_intake_mcg,2534,0.0,10.15,NONE,RETAIN (High Quality)
total_folate_intake_mcg,2701,0.0,1.79,NONE,RETAIN (High Quality)
total_magnesium_intake_mg,1694,0.0,0.17,NONE,RETAIN (High Quality)
total_potassium_intake_mg,4449,0.0,0.03,NONE,RETAIN (High Quality)
total_selenium_intake_mcg,4424,0.0,0.18,NONE,RETAIN (High Quality)
total_calcium_intake_mg,3597,0.0,0.08,NONE,RETAIN (High Quality)
total_zinc_intake_mg,5024,0.0,1.93,NONE,RETAIN (High Quality)
total_vitamin_b12_intake_mcg,4024,0.0,9.22,NONE,RETAIN (High Quality)
total_vitamin_c_intake_mg,5049,0.0,5.01,NONE,RETAIN (High Quality)
nar_iron,4405,0.0,0.0,NONE,RETAIN (High Quality)
nar_vitamin_d,1341,0.0,0.0,NONE,RETAIN (High Quality)
nar_folate,1355,0.0,0.0,NONE,RETAIN (High Quality)
nar_magnesium,2225,0.0,0.0,NONE,RETAIN (High Quality)
nar_potassium,5245,0.0,0.0,NONE,RETAIN (High Quality)
nar_selenium,2361,0.0,0.0,NONE,RETAIN (High Quality)
nar_calcium,3261,0.0,0.0,NONE,RETAIN (High Quality)
nar_zinc,4350,0.0,0.0,NONE,RETAIN (High Quality)
nar_vitamin_b12,1420,0.0,0.0,NONE,RETAIN (High Quality)
nar_vitamin_c,3801,0.0,0.0,NONE,RETAIN (High Quality)
nar_mean_adequacy_ratio,6713,0.0,0.0,NONE,RETAIN (High Quality)
symptom_phq9_score,27,46.9,0.9,LOW,RETAIN with Native Imputation
symptom_fatigue_energy_loss,3,73.54,0.0,MEDIUM,RETAIN with Indicator Imputation (Tree-Native Handling)
symptom_poor_appetite,3,84.92,0.0,MEDIUM,RETAIN with Indicator Imputation (Tree-Native Handling)
symptom_concentration_trouble,3,87.69,0.0,MEDIUM,RETAIN with Indicator Imputation (Tree-Native Handling)
symptom_sleep_hours_weekday,24,29.71,0.87,NONE,RETAIN (High Quality)
symptom_short_sleep,2,29.71,0.0,NONE,RETAIN (High Quality)
symptom_sleep_hours_weekend,24,29.72,1.01,NONE,RETAIN (High Quality)
symptom_sleep_variability,21,29.95,0.55,NONE,RETAIN (High Quality)
lifestyle_main_meal_planner,2,28.91,0.0,NONE,RETAIN (High Quality)
lifestyle_main_food_shopper,2,28.9,0.0,NONE,RETAIN (High Quality)
lifestyle_sedentary_minutes_per_day,47,32.46,0.0,LOW,RETAIN with Native Imputation
lifestyle_moderate_activity_minutes,54,46.65,5.84,LOW,RETAIN with Native Imputation
lifestyle_vigorous_activity_minutes,37,69.24,5.01,MEDIUM,RETAIN with Indicator Imputation (Tree-Native Handling)
history_anemia,2,1.68,0.0,NONE,RETAIN (High Quality)
history_thyroid_problem,2,34.74,0.0,LOW,RETAIN with Native Imputation
history_liver_condition,2,34.69,0.0,LOW,RETAIN with Native Imputation
history_arthritis,2,34.72,0.0,LOW,RETAIN with Native Imputation
history_bone_fracture,2,85.62,0.0,MEDIUM,RETAIN with Indicator Imputation (Tree-Native Handling)
lifestyle_alcohol_drinker,2,54.11,0.0,MEDIUM,RETAIN with Indicator Imputation (Tree-Native Handling)
