feature_name,mean_abs_shap
lifestyle_moderate_activity_minutes,0.059362087
diet_caffeine_mg,0.057992257
demo_poverty_ratio,0.052840024
demo_age_years,0.05203542
diet_riboflavin_b2_mg,0.04965885
symptom_sleep_variability,0.049649004
exam_weight_kg,0.049509976
exam_waist_height_ratio,0.048900016
exam_pulse_rate,0.041136328
lifestyle_alcohol_drinker,0.034412906
diet_calcium_mg,0.029737696
diet_copper_mg,0.028128574
diet_iron_mg,0.027147282
exam_waist_cm,0.022758987
lifestyle_sedentary_minutes_per_day,0.021341085
diet_cholesterol_mg,0.020685581
diet_alcohol_g,0.019567816
total_vitamin_b12_intake_mcg,0.017964052
demo_race_ethnicity,0.017731545
diet_vitamin_k_mcg,0.01757731
diet_vitamin_d_mcg,0.01684926
diet_potassium_mg,0.016677298
diet_selenium_mcg,0.016339505
symptom_sleep_hours_weekend,0.015785929
symptom_phq9_score,0.015229536
diet_carbohydrate_g,0.013431875
exam_systolic_bp,0.012214534
diet_energy_kcal,0.011218492
supp_iron_mg,0.011097575
supp_vitamin_c_mg,0.0110294735
lifestyle_main_food_shopper,0.009536334
diet_beta_carotene_mcg,0.009382149
exam_height_cm,0.008866371
diet_retinol_mcg,0.0083508
diet_folic_acid_mcg,0.0077163638
total_vitamin_c_intake_mg,0.0070067067
exam_diastolic_bp,0.006723017
exam_bmi,0.006665243
demo_household_size,0.005923511
symptom_poor_appetite,0.004256781
supp_iodine_mcg,0.0038755755
demo_education_level,0.0038409894
total_iron_intake_mg,0.0031856473
lifestyle_main_meal_planner,0.0024640318
nar_iron,0.002463553
supp_calcium_mg,0.0019329378
nar_potassium,0.0018795788
diet_vitamin_e_mg,0.0017237101
diet_vitamin_a_rae_mcg,0.0
diet_magnesium_mg,0.0
diet_fiber_g,0.0
diet_sugar_g,0.0
diet_protein_g,0.0
diet_total_fat_g,0.0
diet_saturated_fat_g,0.0
demo_is_male,0.0
demo_is_pregnant,0.0
diet_folate_dfe_mcg,0.0
diet_vitamin_b6_mg,0.0
diet_niacin_b3_mg,0.0
diet_thiamin_b1_mg,0.0
diet_sodium_mg,0.0
diet_zinc_mg,0.0
diet_phosphorus_mg,0.0
supp_magnesium_mg,0.0
supp_selenium_mcg,0.0
supp_potassium_mg,0.0
supp_zinc_mg,0.0
diet_water_moisture_g,0.0
diet_choline_mg,0.0
diet_vitamin_b12_mcg,0.0
lifestyle_special_diet,0.0
diet_vitamin_c_mg,0.0
total_zinc_intake_mg,0.0
total_calcium_intake_mg,0.0
total_selenium_intake_mcg,0.0
total_potassium_intake_mg,0.0
total_folate_intake_mcg,0.0
total_magnesium_intake_mg,0.0
total_vitamin_d_intake_mcg,0.0
supp_uses_supplements,0.0
supp_vitamin_d_mcg,0.0
supp_vitamin_b6_mg,0.0
supp_vitamin_b12_mcg,0.0
supp_folate_dfe_mcg,0.0
nar_calcium,0.0
nar_magnesium,0.0
nar_folate,0.0
nar_vitamin_d,0.0
symptom_concentration_trouble,0.0
symptom_fatigue_energy_loss,0.0
nar_vitamin_c,0.0
nar_mean_adequacy_ratio,0.0
nar_vitamin_b12,0.0
nar_zinc,0.0
nar_selenium,0.0
symptom_sleep_hours_weekday,0.0
symptom_short_sleep,0.0
lifestyle_vigorous_activity_minutes,0.0
history_thyroid_problem,0.0
history_anemia,0.0
history_liver_condition,0.0
history_arthritis,0.0
history_bone_fracture,0.0
lifestyle_smoked_100_cigarettes,0.0
