feature_name,mean_abs_shap
supp_folate_dfe_mcg,0.13244910528355539
demo_race_ethnicity,0.04306797009313179
demo_poverty_ratio,0.02533171628601353
diet_folic_acid_mcg,0.019320386454050438
exam_systolic_bp,0.017140613964351466
diet_selenium_mcg,0.010427633027984618
exam_bmi,0.009921276160991255
exam_waist_height_ratio,0.009565534501418754
diet_thiamin_b1_mg,0.00864285800099755
total_calcium_intake_mg,0.008613134781556057
diet_iron_mg,0.006566710701483438
exam_pulse_rate,0.00591538185782534
exam_height_cm,0.005670840998579252
supp_vitamin_b6_mg,0.005659025220707673
total_iron_intake_mg,0.005096090610356649
supp_vitamin_b12_mcg,0.0041888575527026265
supp_vitamin_c_mg,0.0037765877390512734
diet_protein_g,0.0034085809028383163
exam_waist_cm,0.0033846143551571352
exam_weight_kg,0.003287432186939093
total_vitamin_b12_intake_mcg,0.003164123246579427
diet_calcium_mg,0.002858837271541521
diet_water_moisture_g,0.0028464336468019442
diet_zinc_mg,0.0024915289559064606
nar_vitamin_d,0.002213933665861786
diet_sodium_mg,0.0017292418977205902
exam_diastolic_bp,0.001693392149735933
diet_vitamin_b12_mcg,0.0009831408853508737
diet_energy_kcal,0.0006056166730115474
demo_age_years,1.745131816832668e-17
diet_potassium_mg,0.0
diet_sugar_g,0.0
diet_total_fat_g,0.0
diet_saturated_fat_g,0.0
diet_cholesterol_mg,0.0
diet_fiber_g,0.0
demo_education_level,0.0
demo_household_size,0.0
demo_is_pregnant,0.0
demo_is_male,0.0
diet_carbohydrate_g,0.0
diet_folate_dfe_mcg,0.0
diet_vitamin_b6_mg,0.0
diet_niacin_b3_mg,0.0
diet_riboflavin_b2_mg,0.0
diet_retinol_mcg,0.0
diet_beta_carotene_mcg,0.0
diet_phosphorus_mg,0.0
diet_vitamin_a_rae_mcg,0.0
diet_magnesium_mg,0.0
diet_copper_mg,0.0
diet_vitamin_d_mcg,0.0
diet_alcohol_g,0.0
diet_vitamin_k_mcg,0.0
diet_choline_mg,0.0
diet_caffeine_mg,0.0
diet_vitamin_c_mg,0.0
supp_selenium_mcg,0.0
supp_potassium_mg,0.0
supp_zinc_mg,0.0
supp_magnesium_mg,0.0
supp_calcium_mg,0.0
supp_iron_mg,0.0
lifestyle_special_diet,0.0
supp_vitamin_d_mcg,0.0
supp_uses_supplements,0.0
supp_iodine_mcg,0.0
total_vitamin_d_intake_mcg,0.0
total_folate_intake_mcg,0.0
total_potassium_intake_mg,0.0
total_magnesium_intake_mg,0.0
total_selenium_intake_mcg,0.0
diet_vitamin_e_mg,0.0
total_zinc_intake_mg,0.0
total_vitamin_c_intake_mg,0.0
nar_iron,0.0
nar_folate,0.0
nar_magnesium,0.0
nar_potassium,0.0
nar_selenium,0.0
nar_calcium,0.0
nar_zinc,0.0
nar_vitamin_b12,0.0
nar_vitamin_c,0.0
nar_mean_adequacy_ratio,0.0
symptom_phq9_score,0.0
symptom_fatigue_energy_loss,0.0
symptom_poor_appetite,0.0
symptom_concentration_trouble,0.0
symptom_sleep_hours_weekday,0.0
symptom_short_sleep,0.0
symptom_sleep_hours_weekend,0.0
symptom_sleep_variability,0.0
lifestyle_main_meal_planner,0.0
lifestyle_main_food_shopper,0.0
lifestyle_sedentary_minutes_per_day,0.0
lifestyle_moderate_activity_minutes,0.0
lifestyle_vigorous_activity_minutes,0.0
history_anemia,0.0
history_thyroid_problem,0.0
history_liver_condition,0.0
history_arthritis,0.0
history_bone_fracture,0.0
lifestyle_alcohol_drinker,0.0
lifestyle_smoked_100_cigarettes,0.0
