feature_name,mean_abs_shap
demo_age_years,0.14982048
diet_folic_acid_mcg,0.049358655
exam_height_cm,0.038395133
demo_poverty_ratio,0.03378896
exam_pulse_rate,0.03056719
symptom_phq9_score,0.029848637
demo_race_ethnicity,0.02964519
lifestyle_vigorous_activity_minutes,0.02569851
diet_vitamin_d_mcg,0.021452725
total_folate_intake_mcg,0.020073108
symptom_sleep_hours_weekend,0.019953376
diet_folate_dfe_mcg,0.016851474
nar_mean_adequacy_ratio,0.014511214
lifestyle_sedentary_minutes_per_day,0.014414143
demo_is_male,0.014173124
diet_vitamin_e_mg,0.013272702
diet_energy_kcal,0.012693303
total_vitamin_b12_intake_mcg,0.009665093
diet_carbohydrate_g,0.0096329
diet_vitamin_b12_mcg,0.009564487
lifestyle_moderate_activity_minutes,0.0094800405
diet_riboflavin_b2_mg,0.009378611
demo_education_level,0.009269703
diet_fiber_g,0.0087265065
diet_magnesium_mg,0.008580464
exam_weight_kg,0.008329487
nar_calcium,0.008277182
diet_retinol_mcg,0.008003128
diet_caffeine_mg,0.0070946887
supp_magnesium_mg,0.006160274
supp_vitamin_c_mg,0.005840127
total_vitamin_d_intake_mcg,0.005354678
diet_total_fat_g,0.0050033447
total_potassium_intake_mg,0.0042080944
diet_vitamin_a_rae_mcg,0.0036229412
symptom_sleep_variability,0.0032104605
supp_calcium_mg,0.0027728635
demo_household_size,0.0024036658
diet_sodium_mg,0.0022406147
diet_sugar_g,0.0021146557
history_thyroid_problem,0.0018684637
exam_waist_height_ratio,0.0016851194
supp_vitamin_d_mcg,0.0015936978
supp_potassium_mg,0.0015017581
diet_zinc_mg,0.0014378388
diet_water_moisture_g,0.0013949275
exam_systolic_bp,0.0012129999
diet_potassium_mg,0.00090380484
exam_bmi,0.0005811594
diet_saturated_fat_g,0.0
diet_protein_g,0.0
exam_waist_cm,0.0
exam_diastolic_bp,0.0
diet_iron_mg,0.0
diet_cholesterol_mg,0.0
demo_is_pregnant,0.0
diet_calcium_mg,0.0
diet_niacin_b3_mg,0.0
diet_vitamin_b6_mg,0.0
diet_beta_carotene_mcg,0.0
diet_thiamin_b1_mg,0.0
diet_selenium_mcg,0.0
diet_copper_mg,0.0
diet_phosphorus_mg,0.0
supp_vitamin_b12_mcg,0.0
supp_selenium_mcg,0.0
supp_zinc_mg,0.0
lifestyle_special_diet,0.0
supp_iron_mg,0.0
diet_vitamin_c_mg,0.0
diet_vitamin_k_mcg,0.0
diet_alcohol_g,0.0
diet_choline_mg,0.0
total_zinc_intake_mg,0.0
total_calcium_intake_mg,0.0
total_selenium_intake_mcg,0.0
total_magnesium_intake_mg,0.0
supp_vitamin_b6_mg,0.0
supp_iodine_mcg,0.0
supp_uses_supplements,0.0
total_iron_intake_mg,0.0
supp_folate_dfe_mcg,0.0
nar_potassium,0.0
nar_selenium,0.0
total_vitamin_c_intake_mg,0.0
nar_folate,0.0
nar_magnesium,0.0
nar_vitamin_d,0.0
nar_iron,0.0
symptom_concentration_trouble,0.0
symptom_poor_appetite,0.0
symptom_fatigue_energy_loss,0.0
nar_vitamin_c,0.0
nar_zinc,0.0
nar_vitamin_b12,0.0
symptom_sleep_hours_weekday,0.0
symptom_short_sleep,0.0
lifestyle_main_meal_planner,0.0
lifestyle_main_food_shopper,0.0
history_anemia,0.0
history_liver_condition,0.0
history_arthritis,0.0
history_bone_fracture,0.0
lifestyle_alcohol_drinker,0.0
lifestyle_smoked_100_cigarettes,0.0
