feature_name,mean_abs_shap
demo_poverty_ratio,0.2771374
exam_diastolic_bp,0.227851
demo_age_years,0.1988009
lifestyle_vigorous_activity_minutes,0.11324507
lifestyle_moderate_activity_minutes,0.09200547
exam_weight_kg,0.08805052
exam_height_cm,0.0787732
exam_pulse_rate,0.07643349
demo_education_level,0.06333233
total_selenium_intake_mcg,0.06063783
exam_bmi,0.053723212
demo_race_ethnicity,0.040504877
diet_vitamin_k_mcg,0.036903583
exam_waist_cm,0.036138795
exam_systolic_bp,0.03570697
symptom_sleep_variability,0.032144867
exam_waist_height_ratio,0.029165907
nar_iron,0.028267346
symptom_fatigue_energy_loss,0.028135687
lifestyle_sedentary_minutes_per_day,0.02761645
diet_sugar_g,0.023749376
diet_beta_carotene_mcg,0.022434173
diet_selenium_mcg,0.02156014
total_zinc_intake_mg,0.021472698
diet_vitamin_e_mg,0.021345025
diet_calcium_mg,0.020619694
diet_folate_dfe_mcg,0.019731123
supp_vitamin_c_mg,0.018967519
diet_vitamin_d_mcg,0.018424435
demo_household_size,0.018107207
diet_water_moisture_g,0.017329687
diet_vitamin_c_mg,0.016542463
symptom_sleep_hours_weekday,0.016534695
diet_fiber_g,0.016469957
diet_caffeine_mg,0.015792677
symptom_sleep_hours_weekend,0.015511316
lifestyle_special_diet,0.01412595
symptom_phq9_score,0.014070481
symptom_poor_appetite,0.014002927
diet_energy_kcal,0.013494823
diet_total_fat_g,0.013392069
diet_vitamin_a_rae_mcg,0.013224828
diet_niacin_b3_mg,0.01220915
history_arthritis,0.011851621
diet_choline_mg,0.011603129
diet_saturated_fat_g,0.011560733
nar_zinc,0.011265641
total_vitamin_d_intake_mcg,0.011029486
total_potassium_intake_mg,0.010853318
diet_thiamin_b1_mg,0.010466487
diet_magnesium_mg,0.010342847
diet_phosphorus_mg,0.009750094
diet_retinol_mcg,0.00920164
diet_alcohol_g,0.0091480035
diet_copper_mg,0.009050129
supp_zinc_mg,0.008609751
lifestyle_alcohol_drinker,0.008518707
nar_vitamin_c,0.0077431872
diet_zinc_mg,0.007221696
diet_sodium_mg,0.007078195
total_magnesium_intake_mg,0.006371055
nar_mean_adequacy_ratio,0.006117078
history_bone_fracture,0.0060644173
total_vitamin_c_intake_mg,0.005852616
lifestyle_main_meal_planner,0.0058099627
total_vitamin_b12_intake_mcg,0.0057435217
nar_potassium,0.0055365334
supp_magnesium_mg,0.0050905477
nar_calcium,0.0050860927
diet_cholesterol_mg,0.0046495814
nar_folate,0.0045617255
lifestyle_main_food_shopper,0.0043786494
diet_potassium_mg,0.0041969684
diet_folic_acid_mcg,0.004179115
diet_vitamin_b12_mcg,0.0039610853
diet_carbohydrate_g,0.0038223064
supp_iodine_mcg,0.00380638
symptom_concentration_trouble,0.003676399
supp_iron_mg,0.003311668
history_thyroid_problem,0.00317161
nar_magnesium,0.003117055
diet_vitamin_b6_mg,0.003093554
total_iron_intake_mg,0.0030105142
supp_calcium_mg,0.0030075414
diet_protein_g,0.0024623114
total_folate_intake_mcg,0.0024596946
diet_iron_mg,0.0019666865
supp_potassium_mg,0.0018870323
diet_riboflavin_b2_mg,0.0010962026
history_liver_condition,0.0010907947
demo_is_pregnant,0.00092186744
demo_is_male,0.0
supp_vitamin_b6_mg,0.0
supp_folate_dfe_mcg,0.0
supp_uses_supplements,0.0
supp_selenium_mcg,0.0
supp_vitamin_d_mcg,0.0
total_calcium_intake_mg,0.0
supp_vitamin_b12_mcg,0.0
nar_vitamin_d,0.0
nar_selenium,0.0
nar_vitamin_b12,0.0
symptom_short_sleep,0.0
history_anemia,0.0
lifestyle_smoked_100_cigarettes,0.0
